Item	Word	Semantic_Output	Error_Score	Correct
832	cleft	cleft	0.0003	1
836	clerk	clerk	0	1
837	clerks	clerks	0	1
841	cliff	cliff	0	1
842	cliffs	cliffs	0.0003	1
843	climb	climb	0.0001	1
844	climbed	climbed	0	1
850	cling	cling	0	1
851	clings	clings	0	1
855	clip	clip	0.0002	1
856	clips	clips	0.0001	1
859	cloak	cloak	0.000900000000000002	1
861	clock	clock	0.0001	1
862	clocks	clocks	0	1
871	close	close	0	1
872	close	close	0.1024	1
873	closed	closed	0.000400000000000001	1
874	closed	closed	0.0016	1
875	clot	clot	0.0085	1
876	cloth	cloth	0.0001	1
877	clothe	clothe	0.0019	1
878	clothed	clothed	0.0003	1
879	clothes	clothes	0.0001	1
880	cloths	cloths	0	1
882	cloud	cloud	0	1
883	clouds	clouds	0	1
887	clown	clown	0.0029	1
890	club	club	0	1
891	clubs	clubs	0	1
894	clue	clue	0	1
895	clues	clues	0.0001	1
898	clung	clung	0.0021	1
900	clutch	clutch	0.0011	1
902	coach	coach	0	1
903	coal	coal	0	1
905	coarse	coarse	0.0085	1
906	coast	coast	0	1
907	coasts	coasts	0	1
908	coat	coat	0.001	1
909	coats	coats	0.0005	1
918	code	code	0	1
919	codes	codes	0	1
925	coil	coil	0	1
926	coils	coils	0.0002	1
927	coin	coin	0.0005	1
928	coins	coins	0	1
930	coke	coke	0	1
932	cold	cold	0	1
937	comb	comb	0.0001	1
938	combs	combs	0.0001	1
939	come	come	0	1
940	comes	comes	0	1
944	cone	cone	0.0125	1
945	cones	cones	0.3842	1
951	cook	cook	0.0001	1
952	cooked	cooked	0	1
953	cooks	cooks	0	1
954	cool	cool	0	1
955	cooled	cooled	0.0001	1
956	cools	cools	0	1
965	cope	cope	0	1
970	cord	cord	0	1
971	cords	cords	0.0004	1
972	core	core	0	1
973	cores	cores	0.0004	1
974	cork	cork	0.0104	1
977	corn	corn	0	1
979	corps	corps	0	1
980	corps	corps	0.0149	1
981	corpse	corpse	0.2176	1
984	cost	cost	0	1
985	costs	costs	0	1
991	cough	cough	0.0002	1
994	could	could	0	1
995	count	count	0.0001	1
996	counts	counts	0	1
997	coup	coup	0.0005	1
1001	course	course	0	1
1002	court	court	0.0016	1
1003	courts	courts	0.0009	1
1006	cow	cow	0.0004	1
1009	cows	cows	0.0001	1
1012	crab	crab	0.0002	1
1013	crabs	crabs	0.0004	1
1014	crack	crack	0	1
1015	cracked	cracked	0	1
1016	cracks	cracks	0.000600000000000001	1
1017	craft	craft	0.0001	1
1018	crafts	crafts	0	1
1033	crash	crash	0.0001	1
1041	crawl	crawl	0.0009	1
1049	cream	cream	0	1
1050	creams	creams	0.0036	1
1053	creed	creed	0.0007	1
1055	creek	creek	0	1
1058	creep	creep	0	1
1062	crept	crept	0.0001	1
1064	crest	crest	0.0012	1
1066	crew	crew	0.0005	1
1067	crews	crews	0.0011	1
1068	crib	crib	0.0025	1
1071	cried	cried	0.0001	1
1072	cries	cries	0	1
1073	crime	crime	0.0001	1
1074	crimes	crimes	0.0001	1
1078	crisp	crisp	0.000700000000000001	1
1091	crop	crop	0	1
1092	crops	crops	0.0001	1
1094	cross	cross	0	1
1095	crossed	crossed	0	1
1101	crowd	crowd	0.0004	1
1102	crowds	crowds	0.0001	1
1104	crown	crown	0.0002	1
1105	crowns	crowns	0.0002	1
1107	crude	crude	0	1
1108	cruel	cruel	0.0001	1
1115	crush	crush	0.0001	1
1116	crushed	crushed	0.000500000000000001	1
1117	crust	crust	0	1
1121	cry	cry	0.0006	1
1125	cube	cube	0.0002	1
1126	cubes	cubes	0.0002	1
1130	cue	cue	0.0371	1
1131	cues	cues	0	1
1135	cult	cult	0.0121	1
1138	cup	cup	0	1
1139	cups	cups	0.0004	1
1141	curb	curb	0.004	1
1145	cure	cure	0	1
1146	cured	cured	0.000900000000000002	1
1147	cures	cure	0.9025	0
1148	curl	curl	0.0017	1
1152	curse	curse	0.0017	1
1155	curve	curve	0.0005	1
1156	curves	curves	0	1
1160	cut	cut	0.0001	1
1161	cut	cut	0	1
1163	cuts	cuts	0	1
1166	czar	czar	0.001	1
1175	dale	dale	0.0043	1
1177	dam	dam	0	1
1181	damned	damned	0.2153	1
1183	damp	damp	0.1766	1
1184	dams	dams	0	1
1185	dance	dance	0.0001	1
1187	danes	danes	0.0013	1
1190	dare	dare	0.00800000000000001	1
1191	dared	dared	0.0002	1
1193	dark	dark	0	1
1197	dart	dart	0.002	1
1198	darts	darts	0.0006	1
1199	dash	dash	0.0009	1
1201	date	date	0.0001	1
1202	dates	dates	0.0002	1
1206	dawn	dawn	0.0002	1
1208	day	day	0	1
1209	days	days	0	1
1212	dead	dead	0.0002	1
1213	deaf	deaf	0.0364	1
1214	deal	deal	0	1
1215	deals	deals	0	1
1216	dealt	dealt	0.0009	1
1217	dean	dean	0.0001	1
1219	dear	dear	0.0262	1
1222	death	death	0	1
1223	deaths	deaths	0	1
1226	debt	debt	0	1
1227	debts	debts	0	1
1228	deck	deck	0	1
1230	deed	deed	0.0001	1
1231	deeds	deeds	0	1
1233	deemed	deemed	0.0002	1
1235	deep	deep	0.0484	1
1236	deer	deer	0.0007	1
1237	deer	deer	0.1297	1
1247	dens	dens	0.2715	1
1248	dense	dense	0.0001	1
1251	depth	depth	0.0016	1
1252	depths	depths	0	1
1253	desk	desk	0	1
1254	desks	desks	0.0002	1
1255	dew	storm	0.9998	0
1257	dial	dial	0.0001	1
1259	dials	dials	0	1
1260	dick	dick	0.0003	1
1262	did	did	0.0001	1
1263	die	die	0	1
1264	died	died	0.0001	1
1265	dies	dies	0	1
1266	dig	dig	0.0008	1
1272	dim	dim	0	1
1273	dime	dime	0.0016	1
1282	dip	dip	0.000900000000000002	1
1283	dipped	dipped	0.0014	1
1289	dirt	dirt	0.0002	1
1291	disc	disc	0.0001	1
1292	discs	discs	0.0901	1
1293	dish	dish	0.0002	1
1294	disk	disk	0.0001	1
1295	disks	disks	0	1
1296	ditch	ditch	0.0005	1
1297	dive	dive	0.0002	1
1299	do	do	0.0001	1
1302	docks	docks	0.0266	1
1303	dodge	dodge	0.0021	1
1306	does	does	0	1
1308	dog	dog	0.0002	1
1309	dogs	dogs	0	1
1310	doll	doll	0.0028	1
1311	dolls	dolls	0.001	1
1313	dome	dome	0	1
1314	domes	domes	0	1
1315	don	don	0.0002	1
1316	done	done	0	1
1319	doom	doom	0.0001	1
1320	doomed	doomed	0.0012	1
1322	door	door	0	1
1323	doors	doors	0.0001	1
1331	dose	dose	0.0027	1
1333	dot	dot	0.0006	1
1335	dots	dots	0.0002	1
1336	doubt	doubt	0.0064	1
1337	doubts	doubts	0.0004	1
1343	down	down	0	1
1346	drab	drab	0	1
1347	draft	draft	0.0001	1
1348	drafts	drafts	0.0002	1
1349	drag	drag	0.0001	1
1350	dragged	dragged	0.0001	1
1352	drain	drain	0.0001	1
1353	drained	drained	0	1
1354	drains	drains	0	1
1359	drank	drank	0	1
1365	draw	draw	0.0001	1
1369	draws	draws	0.0001	1
1371	dread	dread	0.0001	1
1373	dream	dream	0.0001	1
1374	dreams	dreams	0.0001	1
1378	dress	dress	0	1
1379	dressed	dressed	0	1
1380	drew	drew	0	1
1381	dried	dried	0.000500000000000001	1
1383	drift	drift	0.0005	1
1385	drill	drill	0.0001	1
1386	drilled	drilled	0	1
1387	drills	drills	0	1
1388	drink	drink	0	1
1389	drinks	drinks	0	1
1390	drip	drip	0.0001	1
1393	drive	drive	0	1
1394	drives	drives	0	1
1402	drop	drop	0	1
1403	dropped	dropped	0	1
1404	drops	drops	0	1
1406	drought	drought	0.0001	1
1408	drove	drove	0	1
1413	drug	drug	0.0001	1
1414	drugs	drugs	0	1
1415	drum	drum	0.0001	1
1416	drums	drums	0	1
1417	drunk	drunk	0.0002	1
1419	dry	dry	0	1
1421	dubbed	dubbed	0.00489999999999999	1
1423	duck	duck	0	1
1425	ducks	ducks	0.0004	1
1426	duct	duct	0.0114	1
1427	ducts	ducts	0.0018	1
1432	due	due	0.0017	1
1435	dues	dues	0.0002	1
1437	dug	dug	0.0002	1
1438	duke	duke	0.0004	1
1440	dull	dull	0.000400000000000001	1
1443	dumped	dumped	0	1
1444	dumps	dumps	0.0004	1
1458	dusk	dusk	0.0011	1
1460	dust	dust	0	1
1462	dutch	dutch	0	1
1463	dwarf	dwarf	0	1
1465	dwarfs	dwarfs	0	1
1466	dwell	dwell	0.0256	1
1469	dye	dye	0.0001	1
1472	each	each	0.0001	1
1473	ear	ear	0	1
1474	earl	earl	0.0018	1
1476	earn	earn	0	1
1477	earned	earned	0.000400000000000001	1
1478	earns	earns	0.000900000000000002	1
1479	ears	ears	0	1
1480	earth	earth	0.0002	1
1482	ease	ease	0.0001	1
1483	east	east	0.0001	1
1484	eat	eat	0	1
1485	eats	eats	0	1
1487	ebb	ebb	0.0011	1
1490	edge	edge	0	1
1492	eels	eels	0.0013	1
1494	egg	egg	0.0001	1
1495	eggs	eggs	0	1
1503	else	else	0.000500000000000001	1
1505	end	end	0	1
1506	ends	ends	0	1
1508	ere	ere	2.0241	1
1513	eve	eve	0	1
1517	eye	eye	0.0001	1
1518	eyes	eyes	0	1
1520	face	face	0.0002	1
1521	fact	fact	0	1
1522	facts	facts	0	1
1524	fade	fade	0.0175	1
1526	fads	fads	0.0001	1
1529	fail	fail	0	1
1530	failed	failed	0.0001	1
1531	fails	fails	0	1
1532	faint	faint	0.00780000000000001	1
1533	fair	fair	0.0025	1
1534	faith	faith	0	1
1537	fall	fall	0.0001	1
1538	falls	falls	0	1
1540	fame	fame	0.0011	1
1542	fan	fan	0	1
1545	fans	fans	0.0052	1
1546	far	far	0	1
1548	fare	fare	0.01	1
1550	farm	farm	0	1
1551	farms	farms	0	1
1553	fast	fast	0.0001	1
1554	fat	fat	0.0021	1
1555	fate	fate	0.0001	1
1557	fault	fault	0	1
1558	faults	faults	0.000400000000000001	1
1566	fear	fear	0.0004	1
1567	fears	fears	0	1
1568	feast	feast	0	1
1570	feat	feat	0.0017	1
1571	feats	feats	0.0006	1
1572	fed	fed	0	1
1573	fee	fee	0	1
1574	feed	feed	0	1
1575	feeds	feeds	0	1
1576	feel	feel	0	1
1577	feels	feels	0	1
1578	fees	fees	0.0003	1
1579	feet	feet	0.0017	1
1585	fell	fell	0	1
1586	felt	felt	0	1
1588	fence	fence	0	1
1591	ferns	ferns	0.0021	1
1596	feud	feud	0.1256	1
1598	few	few	0	1
1603	field	field	0	1
1604	fields	fields	0	1
1607	fierce	fierce	0.0153	1
1610	fifth	fifth	0.0031	1
1612	fight	fight	0	1
1613	fights	fights	0.0001	1
1617	file	file	0	1
1618	filed	filed	0	1
1619	files	files	0	1
1620	fill	fill	0.0009	1
1621	filled	filled	0	1
1622	fills	fills	0	1
1623	film	film	0.0005	1
1624	films	films	0	1
1625	filth	filth	0.0005	1
1627	fin	fin	0.0011	1
1629	find	find	0	1
1630	finds	finds	0	1
1631	fine	fine	0	1
1634	fins	fins	0.0007	1
1635	fir	fir	0.1356	1
1636	fire	fire	0	1
1637	fires	fires	0.0001	1
1638	firm	firm	0	1
1639	firms	firms	0.0001	1
1641	first	first	0.0001	1
1644	fish	fish	0.0036	1
1645	fish	fish	0	1
1646	fist	fist	0.0055	1
1648	fit	fit	0	1
1649	fit	fit	0	1
1650	fits	fits	0	1
1651	five	five	0.0001	1
1652	fix	fix	0	1
1653	fixed	fixed	0	1
1655	flag	flag	0.0006	1
1656	flags	flags	0	1
1665	flame	flame	0	1
1666	flames	flames	0.0064	1
1669	flank	flank	0.0003	1
1670	flanked	flanked	0.0037	1
1672	flap	flap	0.0324	1
1676	flared	flared	0.0032	1
1677	flares	flares	0.0001	1
1678	flash	flash	0.0038	1
1679	flashed	flashed	0.0002	1
1680	flask	flask	0.0105	1
1682	flat	flat	0	1
1684	flaw	flaw	0.0094	1
1685	flaws	flaws	0.0001	1
1686	flax	flax	0.0036	1
1693	flee	flee	0.0014	1
1694	fleet	fleet	0.0002	1
1695	fleets	fleets	0.001	1
1696	flesh	flesh	0	1
1697	flew	flew	0.0004	1
1703	flies	flies	0.0004	1
1704	flight	flight	0	1
1705	flights	flights	0	1
1710	flint	flint	0.0145	1
1712	flip	flip	0.0005	1
1720	float	float	0.0001	1
1722	flock	flock	0.0002	1
1723	flocks	flocks	0.0016	1
1729	flood	flood	0	1
1730	floods	floods	0.0001	1
1731	floor	floor	0	1
1732	floors	floors	0	1
1739	flour	flour	0	1
1742	flow	flow	0.0001	1
1743	flows	flows	0.0001	1
1744	flu	flu	0.00850000000000001	1
1757	flush	flush	0	1
1758	flushed	flushed	0	1
1761	flux	flux	0.0026	1
1762	fly	fly	0	1
1765	foam	foam	0.0018	1
1769	foe	foe	0.01	1
1770	foes	foes	0.3137	1
1771	fog	fog	0.0027	1
1773	foil	foil	0.0012	1
1777	fold	fold	0.0001	1
1778	folds	folds	0	1
1779	folk	folk	0	1
1780	folks	folks	0.0001	1
1781	fond	fond	0.0895	1
1784	food	food	0	1
1785	foods	foods	0	1
1786	fool	fool	0.001	1
1787	fools	fools	0.0026	1
1788	foot	foot	0	1
1791	for	for	0.0004	1
1792	force	force	0	1
1793	ford	ford	0	1
1795	fore	fore	0.0038	1
1798	fork	fork	0.0011	1
1800	form	form	0	1
1801	forms	forms	0	1
1802	fort	fort	0.0002	1
1803	forth	forth	0	1
1804	forts	forts	0.0003	1
1805	fought	fought	0	1
1806	foul	foul	7.4122	1
1809	found	found	0.0001	1
1811	fourth	fourth	0.0003	1
1812	fowl	fowl	0.0072	1
1813	fowl	fowl	0.4653	1
1814	fox	fox	0.0001	1
1816	frame	frame	0	1
1817	frames	frames	0.0001	1
1819	francs	francs	0.0001	1
1820	frank	frank	0.0002	1
1823	fraud	fraud	0	1
1830	free	free	0.0001	1
1831	freeze	freeze	0.0001	1
1832	freight	freight	0.0006	1
1834	french	french	0.0001	1
1835	french	french	0	1
1836	fresh	fresh	0	1
1840	fried	fried	0.0001	1
1841	friend	friend	0	1
1842	friends	friends	0	1
1843	fries	fries	0.0087	1
1845	fright	fright	0.0007	1
1849	fringe	fringe	0.0001	1
1855	frog	frog	0.0002	1
1856	frogs	frogs	0.0025	1
1857	from	from	0.0001	1
1859	front	front	0	1
1860	fronts	fronts	0	1
1861	frost	frost	0.0002	1
1867	frowned	frowned	0.261	1
1870	fruit	fruit	0	1
1871	fruits	fruits	0	1
1877	fuel	fuel	0.0001	1
1878	fuels	fuels	0.0001	1
1881	full	full	0.00639999999999999	1
1883	fumes	fumes	0	1
1884	fun	fun	0.0004	1
1885	fund	fund	0	1
1886	funds	funds	0	1
1890	fur	fur	0.0006	1
1894	furs	furs	0.0001	1
1895	fuse	fuse	0	1
1910	gain	gain	0.0001	1
1911	gained	gained	0	1
1912	gains	gains	0	1
1913	gait	gait	0.005	1
1921	game	game	0	1
1922	games	games	0	1
1924	gang	gang	0	1
1925	gangs	gangs	0.0001	1
1926	gap	gap	0	1
1930	gaps	gaps	0	1
1931	garb	garb	0.1585	1
1933	gas	gas	0.0002	1
1939	gate	gate	0.0019	1
1940	gates	gates	0.0001	1
1944	gauge	gauge	0	1
1945	gaunt	gaunt	0.1001	1
1947	gave	gave	0	1
1949	gay	gay	0.0044	1
1950	gaze	gaze	0.000700000000000001	1
1952	gear	gear	0	1
1953	gears	gears	0	1
1963	gene	gene	0.0004	1
1964	genes	genes	0.0003	1
1967	germ	germ	0	1
1968	germs	germs	0	1
1969	get	get	0	1
1970	gets	gets	0	1
1977	ghost	ghost	0.0008	1
1978	ghosts	ghosts	0.0004	1
1983	gift	gift	0	1
1984	gifts	gifts	0.0003	1
1990	gills	gills	0.0099	1
1992	gin	gin	0.0712	1
1996	girl	girl	0.0001	1
1997	girls	girls	0	1
2003	give	give	0	1
2004	gives	gives	0	1
2005	glad	glad	0.092	1
2008	glance	glance	0.0001	1
2010	gland	gland	0	1
2011	glands	glands	0	1
2012	glare	glare	0.1782	1
2013	glass	glass	0	1
2026	glimpse	glimpse	0	1
2032	globe	globe	0	1
2035	gloom	gloom	0.3564	1
2037	gloss	gloss	0.0007	1
2039	gloves	gloves	0.001	1
2040	glow	glow	0.0001	1
2041	glue	glue	0.000400000000000001	1
2042	glued	glued	0.0257	1
2058	go	go	0	1
2061	goal	goal	0	1
2062	goals	goals	0	1
2064	goats	goats	0.0074	1
2067	god	god	0.0001	1
2068	gods	gods	0	1
2069	goes	goes	0.0008	1
2070	gold	gold	0	1
2072	golf	golf	0	1
2077	good	good	0	1
2078	goods	goods	0	1
2086	gorge	gorge	0.0009	1
2089	got	got	0	1
2101	grace	grace	0.0017	1
2103	grade	grade	0.0004	1
2104	grades	grades	0.0001	1
2110	grain	grain	0	1
2111	grains	grains	0.0011	1
2112	gram	gram	0	1
2113	grams	grams	0	1
2114	grand	grand	0.001	1
2116	grant	grant	0	1
2117	grants	grants	0.000400000000000001	1
2118	grape	grape	0.0012	1
2119	grapes	grapes	0.0002	1
2120	graph	graph	0.0002	1
2121	graphs	graphs	0.0001	1
2122	grasp	grasp	0	1
2123	grasped	grasped	0	1
2125	grass	grass	0.02	1
2128	grave	grave	0	1
2129	graves	graves	0	1
2130	gray	gray	0.0009	1
2133	grease	grease	0	1
2134	great	great	0	1
2136	greed	greed	0.0012	1
2138	green	green	0.0003	1
2139	greet	greet	0.0011	1
2141	grew	grew	0.0001	1
2142	grey	gray	0.7818	0
2143	grid	grid	0.0016	1
2145	grief	grief	0.0001	1
2154	grim	grim	0	1
2159	grind	grind	0.0018	1
2163	grip	grip	0	1
2166	grips	grips	0	1
