Item	Word	Semantic_Output	Error_Score	Correct
191	beg	beg	0.0002	1
194	beige	beige	0	1
197	belle	belle	0.0019	1
200	belt	belt	0	1
207	berg	berg	0.0198	1
212	bet	bet	0.0002	1
216	bib	bib	0.0006	1
217	bibs	bibs	0.0055	1
219	bide	bide	0.2811	1
221	bier	bier	0.0517	1
223	biff	biff	0.712	1
225	bight	bight	0.0471	1
227	bike	bike	0.0001	1
231	bilge	bilge	0.0025	1
242	bins	bins	0.0005	1
245	birds	birds	0	1
247	births	births	0	1
248	bisque	bisque	0.0156	1
250	bitch	bitch	0.0004	1
251	bite	bite	0.0236	1
252	bits	bits	0	1
255	blabbed	blabbed	0.0004	1
257	black	black	0.0001	1
258	blade	blade	0	1
260	blah	blah	0.0064	1
263	blames	blames	0.002	1
268	blare	blare	0	1
269	blared	blared	0.001	1
270	blares	blares	0.0002	1
273	blaze	blaze	0.0001	1
274	blazed	blazed	0.0001	1
275	bleach	bleach	0.0018	1
276	bleached	bleached	0.0003	1
277	bleak	bleak	0.0001	1
278	bleat	bleat	0.0003	1
284	bleeps	bleeps	0.0183	1
289	blessed	blessed	0	1
290	blew	blew	0	1
293	blimp	blimp	0.0002	1
294	blimps	blimps	0.0017	1
296	blink	blink	0.0014	1
297	blinked	blinked	0	1
302	blithe	blithe	0.1943	1
304	bloat	bloat	0.0001	1
312	bloke	bloke	0.124	1
315	blonde	blonde	0.0018	1
316	blood	blood	0	1
318	bloom	bloom	0.0016	1
320	blooms	blooms	0.0014	1
321	blot	blot	0.0103	1
322	blotch	blotch	0.0106	1
325	blow	blow	0	1
326	blows	blows	0	1
329	bluff	bluff	0	1
331	blunt	blunt	0.0003	1
333	blurb	blurb	0.00530000000000001	1
334	blurred	blurred	0.0016	1
340	boar	boar	0.0004	1
344	boast	boast	0.0009	1
345	boasts	boasts	0.0007	1
347	boats	boats	0.0002	1
351	bock	bock	0.0394	1
354	bode	bode	0.0081	1
357	boiled	boiled	0	1
361	boles	drugs	2.8499	0
362	boll	boll	0.0008	1
366	bomb	bomb	0.0002	1
374	books	books	0	1
376	booms	booms	0.0026	1
377	boon	boon	0.0001	1
380	boors	boors	0.1197	1
383	boosts	boosts	0.1876	1
384	boot	boot	0	1
385	booth	booth	0.0004	1
387	boots	boots	0	1
388	booze	booze	0.2928	1
389	bop	bop	0.0129	1
393	botch	botch	0.029	1
398	bounce	bounce	0	1
400	bound	bound	0.0001	1
401	bourn	bourn	0.9417	1
403	bout	bout	0.9021	1
406	bowl	bowl	0	1
407	bowls	bowls	0.0004	1
408	bows	bows	0.0008	1
411	boys	boys	0.0002	1
413	brace	brace	0.0001	1
415	brad	brad	0.0015	1
416	brads	brads	0.0024	1
417	brag	brag	0.0003	1
419	brags	brags	0.0014	1
421	braids	braids	0.0003	1
424	brain	brain	0.0001	1
427	brake	brake	0.0005	1
431	brand	brand	0	1
433	brans	brans	0.056	1
437	brats	brats	0.0043	1
438	brave	brave	0	1
439	brawl	brawl	0.0036	1
441	brawn	brawn	0.0184	1
442	brawns	brawns	0.0396	1
447	breach	breach	0.0011	1
450	breadth	breadth	0	1
451	breadths	breadths	0.0066	1
454	breasts	breasts	0.00509999999999999	1
457	breaths	breaths	0.0021	1
458	breech	breech	0.1621	1
460	breeds	breeds	0.3316	1
461	breeze	breeze	0.0009	1
470	bride	bride	0.0002	1
472	bridge	bridge	0.0001	1
473	brief	brief	0	1
475	brig	brig	0.0656	1
476	bright	bright	0.0001	1
479	brim	brim	0.0086	1
480	brims	brims	0.0047	1
485	brinks	brinks	0.0051	1
486	brisk	brisk	0	1
490	brogue	brogue	0.00600000000000001	1
493	broils	broils	0.0019	1
494	broke	broke	0	1
495	bronx	bronx	0.1445	1
496	bronze	bronze	0.0052	1
498	brood	brood	0	1
499	broods	broods	0.0001	1
500	brook	brook	0.0003	1
504	broth	broth	0.0005	1
505	broths	broths	0.0006	1
508	brown	brown	0	1
513	brunts	brunts	0.0646	1
519	bucks	bucks	0.0004	1
525	bug	bug	0.0001	1
528	builds	builds	0	1
532	bulge	bulge	0.0001	1
533	bulged	bulged	0.0001	1
537	bulls	bulls	0.0019	1
539	bump	bump	0.0001	1
540	bumped	bumped	0	1
544	bunch	bunch	0.0004	1
550	bunts	bunts	0.1505	1
551	bur	bur	0.0944	1
554	burn	burn	0	1
556	burns	burns	0	1
558	burps	burps	0.0328	1
559	burr	burr	0.0022	1
560	burrs	burrs	0.0018	1
561	burs	burs	0.1309	1
562	burst	burst	0.0001	1
564	bush	bush	0	1
565	buss	buss	0.004	1
568	but	but	0.0001	1
571	butts	butts	0.0296	1
573	buys	buys	0	1
574	buzz	buzz	0	1
575	buzzed	buzzed	0.0003	1
577	ca	ca	0.0805	1
578	cab	cab	0.0001	1
579	cabs	cabs	0.0015	1
580	cache	cache	0.9205	1
583	cads	cads	0.0668	1
584	caff	caff	0.1006	1
586	cake	cake	0	1
587	cakes	cakes	0.0001	1
590	called	called	0.0289	1
593	calve	calve	0.0017	1
599	cams	cams	0.9484	1
603	cants	cants	1.3951	1
604	cap	cap	0	1
606	capes	capes	0.1344	1
607	caps	caps	0.0001	1
608	car	car	15.9801	1
610	cards	cards	0	1
611	care	care	0	1
613	cares	cares	0.0001	1
614	carp	alms	1.1371	0
615	cars	cars	16.9801	1
616	cart	cart	0	1
622	cash	cash	0.0003	1
624	casks	casks	0.0023	1
625	casque	casque	0.0033	1
632	catch	catch	0	1
633	cats	cats	0.0001	1
634	caught	caught	0	1
635	caul	caul	0.0067	1
636	caulk	caulk	0.0023	1
637	cause	cause	0.0001	1
638	caused	caused	0	1
641	caw	caw	0.000700000000000001	1
644	cease	cease	0.0225	1
648	cells	cells	0.0001	1
650	celts	celts	0.0199	1
652	cent	cent	0.0001	1
654	cert	cert	0.006	1
661	chair	chair	0.000500000000000001	1
662	chairs	chairs	0	1
665	chalks	chalks	0.0018	1
668	chance	chance	0.0625	1
670	chant	chant	0	1
671	chants	chants	0	1
672	chap	chap	0	1
676	chards	chards	0.0019	1
677	charge	charge	0	1
678	charm	charm	0	1
679	charms	charms	0.0001	1
680	charred	charred	0.0002	1
685	chaste	chaste	0.0002	1
687	chats	chats	0.041	1
691	cheat	cheat	0.0002	1
693	check	check	0	1
696	cheek	cheek	0	1
698	cheep	cheep	0.0075	1
699	cheeps	cheeps	0.0258	1
706	cherts	cherts	0.000900000000000001	1
708	chest	chest	0	1
710	chew	chew	0	1
714	chic	chic	0.0521	1
716	chicks	chicks	0.0005	1
720	chills	chills	0.0005	1
721	chime	chime	0.0022	1
723	chimp	chimp	0.0049	1
725	chin	chin	0.0001	1
728	chink	chink	0.0002	1
729	chinked	chinked	0.0001	1
731	chins	chins	0	1
734	chirp	chirp	0.0003	1
736	chirps	chirps	0.0001	1
737	chit	chit	0.0192	1
741	choc	choc	0.0222	1
743	chocks	chocks	0.9017	1
745	choir	choir	0	1
748	choked	choked	0.0001	1
749	chokes	chokes	0.0103	1
750	chomp	chomp	0.002	1
753	chop	chop	0	1
755	chops	chops	0.0001	1
759	chores	chores	0.0001	1
764	christs	christs	0.0001	1
768	chubs	chubs	0.0171	1
771	chug	chug	0.0006	1
772	chugged	chugged	0	1
775	chump	chump	0.7412	1
778	chunk	chunk	0.0009	1
779	chunks	chunks	0	1
784	churned	churned	0.0001	1
785	churns	churns	0	1
788	cinch	cinch	0.6983	1
792	clad	clad	0.0012	1
794	claims	claims	0.0001	1
796	clamp	clamp	0	1
798	clamps	clamps	0	1
800	clan	clan	0.001	1
803	clank	clank	0.0027	1
804	clanked	clanked	0.0009	1
806	clans	clans	0.004	1
807	clap	clap	0.0002	1
809	claps	claps	0.0001	1
812	clasp	clasp	0.0001	1
814	clasps	clasps	0.0001	1
815	class	class	0	1
821	clean	clean	0	1
822	cleaned	cleaned	0.0001	1
823	cleans	cleans	0.0002	1
826	clear	clear	0	1
829	cleave	cleave	0.0036	1
832	cleft	cleft	0.0026	1
837	clerks	clerks	0.0001	1
838	click	click	0	1
842	cliffs	cliffs	0.0005	1
844	climbed	climbed	0	1
846	clime	clime	0.0285	1
848	clinch	clinch	0.0001	1
849	clinched	clinched	0.0004	1
851	clings	clings	0.0001	1
853	clinked	clinked	0.0517	1
857	clique	clique	0.4586	1
860	cloaks	cloaks	0.000900000000000002	1
861	clock	clock	0	1
864	clods	clods	0.3496	1
865	clog	clog	0.6158	1
866	clogged	clogged	0.0018	1
869	clones	strifes	3.4623	0
871	close	close	0.0004	1
876	cloth	cloth	0	1
877	clothe	clothe	0.0001	1
882	cloud	cloud	0	1
883	clouds	clouds	0.0001	1
884	clout	clout	0.0059	1
885	clouts	clouts	0.2444	1
886	clove	clove	0.001	1
888	clowns	clowns	0.0051	1
889	cloy	cloy	0.0001	1
891	clubs	clubs	0	1
895	clues	clues	0.01	1
897	clumps	clumps	0.0002	1
898	clung	clung	0	1
899	clunk	clunk	0.0003	1
901	clutched	clutched	0	1
909	coats	coats	0.0006	1
911	coaxed	coaxed	0.0001	1
913	cobs	cobs	0.0019	1
917	cod	cod	0.0001	1
921	cog	cog	0.0022	1
922	cogs	cogs	0.0053	1
923	coif	coif	0.0007	1
927	coin	coin	0	1
929	coir	coir	0.0014	1
930	coke	coke	0.0002	1
933	cole	cole	0.0421	1
935	colt	colt	0.0017	1
937	comb	comb	0.0003	1
940	comes	comes	0	1
942	conch	conch	0.0332	1
944	cone	cone	0.8622	1
946	conk	conk	0.0105	1
947	conks	conks	0.0046	1
948	cons	cons	0.0001	1
955	cooled	cooled	0.0001	1
956	cools	cools	0.0001	1
960	coops	coops	0.0644	1
964	cop	cop	0.0003	1
965	cope	cope	0.0065	1
966	coped	coped	0.0122	1
970	cord	cord	0.0001	1
972	core	core	0	1
973	cores	cores	0.0001	1
975	corks	corks	0.0408	1
976	corm	corm	0.0127	1
977	corn	corn	0	1
982	corse	corse	0.5777	1
985	costs	costs	0	1
987	cote	cote	0.0037	1
990	couch	couch	0.0025	1
994	could	could	0	1
995	count	count	0	1
1001	course	course	0	1
1002	court	court	0.0001	1
1004	cove	cove	0.0003	1
1005	coves	coves	0.0004	1
1006	cow	cow	0.0002	1
1007	cowl	cowl	0.00470000000000001	1
1008	cowls	cowls	0.015	1
1012	crab	crab	0	1
1013	crabs	crabs	0	1
1015	cracked	cracked	0	1
1016	cracks	cracks	0	1
1024	cramp	cramp	0.0226	1
1028	cranes	cranes	0.0007	1
1029	crank	crank	0.0028	1
1030	cranks	cranks	0.001	1
1033	crash	crash	0.0017	1
1035	crass	crass	0.0164	1
1036	crate	crate	0.0001	1
1037	crates	crates	0.0002	1
1041	crawl	crawl	0	1
1042	crawled	crawled	0.0001	1
1043	crawls	crawls	0	1
1047	creaked	creaked	0.0002	1
1048	creaks	creaks	0.0014	1
1051	crease	crease	0.0009	1
1057	creel	creel	0.0071	1
1058	creep	creep	0	1
1060	crepe	crepe	0.0001	1
1061	crepes	crepes	0.00400000000000001	1
1064	crest	crest	0.0001	1
1065	crests	crests	0.0016	1
1066	crew	crew	0	1
1069	cribs	cribs	0.0007	1
1070	crick	crick	0.0071	1
1081	crock	crock	0.0048	1
1083	croft	croft	0.0023	1
1084	crone	crone	0.0281	1
1094	cross	cross	0	1
1100	crow	crow	0.0001	1
1103	crowed	crowed	0.0004	1
1104	crown	crown	0	1
1106	crows	crows	0.0002	1
1107	crude	crude	0	1
1110	cruised	cruised	0.000500000000000001	1
1115	crush	crush	0.0001	1
1116	crushed	crushed	0.0001	1
1118	crusts	crusts	0.0004	1
1120	crux	crux	0.0008	1
1123	crypts	crypts	0.0011	1
1135	cult	cult	0.000700000000000001	1
1139	cups	cups	0	1
1140	cur	cur	0.0071	1
1142	curbs	curbs	0.0001	1
1146	cured	cured	0	1
1151	curs	curs	0.0007	1
1152	curse	curse	0.0017	1
1153	cursed	cursed	0.0009	1
1154	curt	curt	0.024	1
1155	curve	curve	0	1
1156	curves	curves	0.0001	1
1157	cusp	cusp	0.000600000000000001	1
1161	cut	cut	0	1
1162	cute	cute	0	1
1163	cuts	cuts	0	1
1164	cyst	cyst	0.1539	1
1166	czar	czar	0.0038	1
1168	dab	dab	0.0003	1
1171	dace	dace	0.0154	1
1172	dad	dad	0.0001	1
1174	daft	daft	0.0087	1
1177	dam	dam	0.0001	1
1178	dame	dame	0.0014	1
1179	dames	dames	0.0166	1
1180	damn	damn	0.0002	1
1181	damned	damned	0.0018	1
1184	dams	dams	0.0001	1
1187	danes	danes	0.0486	1
1188	dang	dang	0.1772	1
1191	dared	dared	0.0002	1
1195	darned	darned	0.0026	1
1197	dart	dart	0.0004	1
1198	darts	darts	0	1
1200	dashed	dashed	0	1
1204	daunt	daunt	0.0003	1
1205	daunts	daunts	0.1229	1
1206	dawn	dawn	0.0006	1
1210	daze	daze	0.00949999999999999	1
1213	deaf	deaf	0.0001	1
1214	deal	deal	0	1
1215	deals	deals	0	1
1217	dean	dean	0.0047	1
1219	dear	dear	0	1
1224	deb	deb	0.0008	1
1225	debs	debs	0.0009	1
1226	debt	debt	0.01	1
1227	debts	debts	0.0401	1
1229	decks	decks	0	1
1230	deed	deed	0.0506	1
1235	deep	deep	0	1
1236	deer	deer	0	1
1240	deigned	learned	2.4507	0
1242	delf	delf	0.0152	1
1251	depth	depth	0	1
1254	desks	desks	0	1
1257	dial	dial	0	1
1258	dialed	dialed	0	1
1263	die	die	0	1
1264	died	died	0	1
1268	dike	dike	0.0452	1
1269	dikes	dikes	0.043	1
1270	dill	dill	0.0002	1
1272	dim	dim	0	1
1277	dined	dined	0	1
1278	dines	dines	0.0016	1
1282	dip	dip	0.0001	1
1286	dirge	dirge	0.0078	1
1287	dirk	dirk	0.0179	1
1289	dirt	dirt	0	1
1292	discs	discs	0.0025	1
1294	disk	disk	0	1
1295	disks	disks	0.0025	1
1303	dodge	dodge	0.0005	1
1305	doe	doe	0.0007	1
1312	dolt	dolt	0.0401	1
1315	don	don	0.0007	1
1316	done	done	0	1
1317	donned	donned	0.0039	1
1318	dons	dons	0.0444	1
1324	dope	dope	0.0008	1
1326	dork	dork	0.0455	1
1331	dose	dose	0.0001	1
1334	dote	dote	0.0216	1
1339	doughs	doughs	1.0341	1
1341	douse	douse	0.0005	1
1343	down	down	0	1
1344	doze	doze	0.0003	1
1345	dozed	dozed	0.0002	1
1346	drab	drab	0.00460000000000001	1
1350	dragged	dragged	0.0001	1
1352	drain	drain	0	1
1353	drained	drained	0	1
1357	dram	dram	0.0176	1
1358	drams	drams	0.1852	1
1359	drank	drank	0.0001	1
1364	draughts	draughts	0.0356	1
1368	drawls	drawls	0.0057	1
1372	dreads	dreads	0.2157	1
1374	dreams	dreams	0.0049	1
1376	drench	drench	0.0135	1
1381	dried	dried	0.0004	1
1382	dries	dries	0.0001	1
1385	drill	drill	0	1
1386	drilled	drilled	0.0001	1
1396	drone	drone	0.0105	1
1401	droops	droops	0.0001	1
1403	dropped	dropped	0	1
1404	drops	drops	0	1
1406	drought	drought	0.0006	1
1407	droughts	droughts	0.0049	1
1408	drove	drove	0	1
1409	drown	drown	0	1
1411	drowns	drowns	0.0002	1
1413	drug	drug	0	1
1414	drugs	drugs	0	1
1416	drums	drums	0.0001	1
1417	drunk	drunk	0.001	1
1419	dry	dry	0	1
1420	dub	dub	0.000800000000000001	1
1422	dubs	dubs	0.4491	1
1423	duck	duck	0	1
1424	ducked	ducked	0.0001	1
1426	duct	duct	2.4083	1
1427	ducts	ducts	0.000400000000000001	1
1428	dud	dud	0.0068	1
1431	duds	duds	0.0031	1
1432	due	due	0.0001	1
1433	duel	duel	0.000400000000000001	1
1435	dues	dues	1.1784	1
1436	duff	duff	0.0004	1
1438	duke	duke	0.0021	1
1440	dull	dull	0.0002	1
1441	dumb	dumb	0.0011	1
1443	dumped	dumped	0.0005	1
1444	dumps	dumps	0.0003	1
1445	dun	dun	0.0498	1
1450	dungs	dungs	0.001	1
1451	dunk	dunk	0.0255	1
1454	duns	duns	0.0026	1
1455	dupe	dupe	0.0007	1
1456	duped	duped	0.0018	1
1457	dupes	dupes	0.0002	1
1460	dust	dust	0	1
1461	dusts	dusts	0	1
1462	dutch	dutch	0.0122	1
1464	dwarfed	dwarfed	0.0007	1
1465	dwarfs	dwarfs	0.0005	1
1467	dwells	dwells	0.0003	1
1470	dyke	dyke	0.0675	1
1471	dykes	dykes	2.8759	1
1473	ear	ear	0	1
1476	earn	earn	0	1
1477	earned	earned	0	1
1478	earns	earns	0.09	1
1482	ease	ease	0.0001	1
1483	east	east	0	1
1485	eats	eats	0.0002	1
1486	eaves	eaves	0.0045	1
1487	ebb	ebb	0.0002	1
1489	ebbs	ebbs	0.0004	1
1490	edge	edge	0.001	1
1492	eels	eels	0.0014	1
1493	eft	eft	0.0267	1
1496	elf	elf	0.0006	1
1497	elk	elk	0.0135	1
1498	elk	elk	0.0292	1
1500	ells	ells	0.4548	1
1501	elm	elm	0.0003	1
1505	end	end	0	1
1506	ends	ends	0	1
1508	ere	ere	0.0061	1
1509	erg	erg	0.0183	1
1510	err	err	0.1178	1
1511	etch	etch	0.0004	1
1512	etched	etched	0.0004	1
1514	eves	eves	0.0779	1
1515	ewe	ewe	0.0084	1
1516	ewes	ewe	0.4256	0
1518	eyes	eyes	0	1
1520	face	face	0	1
1522	facts	facts	0.0025	1
1523	fad	fad	0.0018	1
1525	fades	fades	0.0002	1
1527	fag	fag	0.0027	1
1529	fail	fail	0	1
1533	fair	fair	0	1
1534	faith	faith	0.0001	1
1536	fake	fake	0	1
1539	false	false	0.0002	1
1541	fames	fames	0.0033	1
1546	far	far	0	1
1547	farce	farce	0.0226	1
1552	fart	fart	0.0177	1
1553	fast	fast	0	1
1556	fates	fates	1.9434	1
1557	fault	fault	0.0104	1
1558	faults	faults	0.0425	1
1559	faun	faun	0.0221	1
1563	fawns	fawns	0.0002	1
1564	faze	faze	0.0839	1
1565	fazed	fazed	0.0264	1
1567	fears	fears	0	1
1570	feat	feat	0.0966	1
1573	fee	fee	0	1
1575	feeds	feeds	0	1
1576	feel	feel	0	1
1580	feign	feign	0.0017	1
1587	fen	fen	0.0015	1
1589	fens	fens	0.0004	1
1590	fern	fern	0	1
1591	ferns	ferns	0	1
1592	fetch	fetch	0	1
1599	fez	fez	0.00390000000000001	1
1600	fib	fib	0.0678	1
1608	fife	fife	0.0024	1
1610	fifth	fifth	0.0001	1
1611	fig	fig	0.0002	1
1612	fight	fight	0	1
1615	filch	filch	0.0354	1
1618	filed	filed	0.0026	1
1619	files	files	0.0017	1
1622	fills	fills	0.0029	1
1625	filth	filth	0.0004	1
1626	filths	filths	0.0003	1
1629	find	find	0	1
1630	finds	finds	0	1
1631	fine	fine	0	1
1632	fink	fink	0.0016	1
1633	finks	finks	0.000700000000000001	1
1637	fires	fires	0.0016	1
1638	firm	firm	0	1
1639	firms	firms	0.0002	1
1640	firs	firs	0.0012	1
1643	firths	firths	0.2374	1
1648	fit	fit	0	1
1650	fits	fits	0	1
1651	five	five	0	1
1652	fix	fix	0	1
1654	fizz	fizz	0.8117	1
1655	flag	flag	0.0001	1
1656	flags	flags	0.0002	1
1657	flail	flail	0.0224	1
1658	flailed	flailed	0.0027	1
1659	flails	flails	0.1315	1
1664	flakes	flakes	0.0005	1
1665	flame	flame	0.0001	1
1666	flames	flames	0.0002	1
1672	flap	flap	0	1
1674	flaps	flaps	0	1
1680	flask	flask	0	1
1681	flasks	flasks	0	1
1683	flaunt	flaunt	0.0733	1
1688	flea	flea	0.0002	1
1692	fledge	fledge	0.0056	1
1695	fleets	fleets	0.0085	1
1701	flicked	flicked	0.0005	1
1702	flicks	flicks	0.0026	1
1703	flies	flies	0	1
1704	flight	flight	0.0001	1
1706	flinch	flinch	0.0012	1
1709	flings	flings	0.0145	1
1711	flints	flints	0.0059	1
1712	flip	flip	0.0002	1
1714	flips	flips	0.0001	1
1715	flirt	flirt	0.0001	1
1717	flit	flit	0.0022	1
1721	floats	floats	0.0004	1
1723	flocks	flocks	0.0005	1
1727	flogged	flogged	0.0112	1
1728	flogs	flogs	0.0096	1
1731	floor	floor	0	1
1732	floors	floors	0	1
1733	flop	flop	0.0026	1
1736	floss	floss	0.0001	1
1738	flounced	flounced	0.000400000000000001	1
1741	flout	flout	0.0029	1
1742	flow	flow	0.0004	1
1743	flows	flows	0.0121	1
1747	flubs	flubs	0.00809999999999999	1
1752	flukes	flukes	0.9216	1
1755	flunk	flunk	0.0004	1
1758	flushed	flushed	0.0002	1
1759	flute	flute	0	1
1761	flux	flux	0.0033	1
1762	fly	fly	0	1
1763	foal	foal	0.001	1
1764	foals	foals	0.0003	1
1768	fobs	fobs	0.0439	1
1774	foils	foils	0.0037	1
1775	foist	foist	0.0001	1
1776	foists	foists	0.0005	1
1780	folks	folks	0.0004	1
1781	fond	fond	0.0012	1
1783	fonts	fonts	0.00720000000000001	1
1785	foods	foods	0.0001	1
1787	fools	fools	0.0027	1
1789	fop	fop	1.0161	1
1791	for	for	0	1
1796	fores	fores	0.0064	1
1798	fork	fork	0	1
1800	form	form	0.0001	1
1801	forms	forms	0.0004	1
1802	fort	fort	0	1
1804	forts	forts	0	1
1805	fought	fought	0	1
1808	fouls	fouls	1.4727	1
1811	fourth	fourth	0	1
1815	frail	frail	0.0026	1
1818	franc	franc	0.0015	1
1821	frappe	frappe	0.0061	1
1822	frappes	frappes	0.0023	1
1825	fray	fray	0.00909999999999999	1
1827	frays	frays	0.07	1
1828	freak	freak	1.3549	1
1829	freaks	freaks	0.951	1
1830	free	free	0	1
1831	freeze	freeze	0.0002	1
1833	freights	freights	0.7293	1
1834	french	french	0.005	1
1837	fret	fret	0.0002	1
1838	frets	frets	0	1
1840	fried	fried	0	1
1841	friend	friend	0	1
1845	fright	fright	0	1
1846	frights	frights	0.0143	1
1847	frill	frill	0.0042	1
1849	fringe	fringe	0.0001	1
1850	frisk	frisk	0.0023	1
1851	frizz	frizz	0.0406	1
1856	frogs	frogs	0.0003	1
1857	from	from	0.0001	1
1858	frond	frond	0.0303	1
1861	frost	frost	0.0001	1
1862	frosts	frosts	0.0007	1
1863	froth	froth	0.0019	1
1864	frothed	frothed	0.0073	1
1866	frown	frown	0.0005	1
1869	froze	froze	0.0001	1
1871	fruits	fruits	0	1
1872	frump	shrew	0.9774	0
1875	fuck	fuck	0.0034	1
1876	fudge	fudge	0.0001	1
1877	fuel	fuel	0	1
1878	fuels	fuels	0.0038	1
1879	fug	fug	0.0424	1
1880	fugue	fugue	0	1
1881	full	full	0.0961	1
1882	fume	fume	0.1194	1
1886	funds	funds	0.0001	1
1889	funs	funs	0.6212	1
1891	furl	furl	0	1
1893	furls	furls	0.0049	1
1899	gab	gab	0.0072	1
1900	gabs	gabs	0.0024	1
1902	gads	gads	0.0378	1
1905	gaffes	gaffes	0.0118	1
1906	gaffs	gaffs	0.2894	1
1907	gag	gag	0.2256	1
1911	gained	gained	0	1
1913	gait	gait	0.0052	1
1914	gaits	gaits	0.0423	1
1915	gal	gal	0.0007	1
1918	gall	gall	0.0218	1
1920	gals	gals	0.0404	1
1921	game	game	0	1
1922	games	games	0.01	1
1924	gang	gang	0	1
1927	gape	gape	0.0145	1
1929	gapes	gapes	0.0017	1
1932	garbs	garbs	0.0101	1
1934	gash	gash	0.0003	1
1937	gasps	gasps	0.0001	1
1939	gate	gate	0	1
1940	gates	gates	0.0001	1
1942	gaud	gaud	0.9959	1
1943	gauds	gauds	0.0048	1
1946	gauze	gauze	0.0001	1
1947	gave	gave	0	1
1951	gazed	gazed	0.0002	1
1953	gears	gears	0.0009	1
1954	gee	gee	0.0001	1
1957	gel	gel	0.0095	1
1959	gels	gels	0.0005	1
1960	gem	gem	0	1
1961	gems	gems	0.0002	1
1965	gent	gent	0.7726	1
1967	germ	germ	0	1
1969	get	get	0.0009	1
1970	gets	gets	0	1
1971	ghast	ghast	0.028	1
1972	ghasts	ghasts	0.0095	1
1973	ghat	ghat	0.0011	1
1974	ghats	ghats	0.00680000000000001	1
1975	ghee	ghee	0.1119	1
1976	ghees	ghees	0.0021	1
1982	gibes	gibes	0.1958	1
1984	gifts	gifts	0.0001	1
1986	gigs	gigs	0.0044	1
1992	gin	gin	0.0003	1
1994	gird	gird	0.0076	1
1997	girls	girls	0	1
2001	gist	gist	0.0082	1
2003	give	give	0	1
2004	gives	gives	0	1
2005	glad	glad	0	1
2006	glade	glade	0.0007	1
2008	glance	glance	0	1
2013	glass	glass	0.0001	1
2015	gleam	gleam	0.0006	1
2016	glean	glean	0.0259	1
2021	glen	glen	0.0002	1
2022	glens	glens	0.0029	1
2023	glib	glib	0.0188	1
2034	globs	globs	0.0063	1
2036	glooms	glooms	0.3108	1
2038	glove	glove	0	1
2039	gloves	gloves	0.0004	1
2049	gnat	gnat	0.0001	1
2050	gnats	gnats	0.005	1
2054	gnome	gnome	0.2197	1
2056	gnu	gnu	0.4001	1
2058	go	go	0	1
2059	goad	goad	0.9476	1
2061	goal	goal	0	1
2066	gobs	gobs	0.0773	1
2067	god	god	0	1
2070	gold	gold	0	1
2073	golfs	golfs	0.0003	1
2075	gongs	gongs	0.0002	1
2078	goods	goods	0.64	1
2080	goon	goon	1.217	1
2083	goose	goose	0.0001	1
2086	gorge	gorge	0.0001	1
2087	gorse	gorse	0.0211	1
2093	gourds	gourds	0.0004	1
2095	gouts	gouts	0.0701	1
2097	gowns	gowns	0.0028	1
